2022-04-10 15:27:30,724 INFO  - new_cart: start func
2022-04-10 15:27:30,725 INFO  - new_cart: exit func with id=567
2022-04-10 15:27:30,725 INFO  - add_to_cart: start func with cart_id=567, product=Coffee(name='Indonezia', price=1, acidity=5.05, roast_level='MEDIUM')
2022-04-10 15:27:30,725 INFO  - add_to_cart: exit func with ret=True
2022-04-10 15:27:30,725 INFO  - add_to_cart: start func with cart_id=567, product=Coffee(name='Indonezia', price=1, acidity=5.05, roast_level='MEDIUM')
2022-04-10 15:27:30,725 INFO  - add_to_cart: exit func with ret=True
2022-04-10 15:27:30,725 INFO  - place_order: start func with cart_id=567 and returned
2022-04-10 15:27:30,726 INFO  - new_cart: start func
2022-04-10 15:27:30,726 INFO  - new_cart: exit func with id=568
2022-04-10 15:27:30,726 INFO  - add_to_cart: start func with cart_id=568, product=Tea(name='White Peach', price=5, type='White')
2022-04-10 15:27:30,726 INFO  - add_to_cart: exit func with ret=True
2022-04-10 15:27:30,726 INFO  - add_to_cart: start func with cart_id=568, product=Tea(name='White Peach', price=5, type='White')
2022-04-10 15:27:30,726 INFO  - add_to_cart: exit func with ret=True
2022-04-10 15:27:30,727 INFO  - add_to_cart: start func with cart_id=568, product=Tea(name='White Peach', price=5, type='White')
2022-04-10 15:27:30,727 INFO  - publish: start func with producer_id=4, product=Tea(name='English Breakfast', price=2, type='Black')
2022-04-10 15:27:30,727 INFO  - add_to_cart: exit func with ret=True
2022-04-10 15:27:30,727 INFO  - publish: exit func ret=True
2022-04-10 15:27:30,727 INFO  - add_to_cart: start func with cart_id=568, product=Tea(name='White Peach', price=5, type='White')
2022-04-10 15:27:30,728 INFO  - add_to_cart: exit func with ret=True
2022-04-10 15:27:30,728 INFO  - add_to_cart: start func with cart_id=568, product=Tea(name='White Peach', price=5, type='White')
2022-04-10 15:27:30,728 INFO  - add_to_cart: exit func with ret=True
2022-04-10 15:27:30,729 INFO  - remove_from_cart: start func with cart_id=568, product=Tea(name='White Peach', price=5, type='White')
2022-04-10 15:27:30,729 INFO  - remove_from_cart: exit func
2022-04-10 15:27:30,729 INFO  - remove_from_cart: start func with cart_id=568, product=Tea(name='White Peach', price=5, type='White')
2022-04-10 15:27:30,729 INFO  - remove_from_cart: exit func
2022-04-10 15:27:30,729 INFO  - remove_from_cart: start func with cart_id=568, product=Tea(name='White Peach', price=5, type='White')
2022-04-10 15:27:30,730 INFO  - remove_from_cart: exit func
2022-04-10 15:27:30,730 INFO  - remove_from_cart: start func with cart_id=568, product=Tea(name='White Peach', price=5, type='White')
2022-04-10 15:27:30,730 INFO  - remove_from_cart: exit func
2022-04-10 15:27:30,730 INFO  - place_order: start func with cart_id=568 and returned
2022-04-10 15:27:30,731 INFO  - remove_from_cart: start func with cart_id=548, product=Coffee(name='Indonezia', price=1, acidity=5.05, roast_level='MEDIUM')
2022-04-10 15:27:30,731 INFO  - remove_from_cart: exit func
2022-04-10 15:27:30,731 INFO  - place_order: start func with cart_id=548 and returned
2022-04-10 15:27:30,731 INFO  - remove_from_cart: start func with cart_id=12, product=Coffee(name='Indonezia', price=1, acidity=5.05, roast_level='MEDIUM')
2022-04-10 15:27:30,732 INFO  - remove_from_cart: exit func
2022-04-10 15:27:30,732 INFO  - remove_from_cart: start func with cart_id=12, product=Coffee(name='Indonezia', price=1, acidity=5.05, roast_level='MEDIUM')
2022-04-10 15:27:30,732 INFO  - remove_from_cart: exit func
2022-04-10 15:27:30,732 INFO  - remove_from_cart: start func with cart_id=12, product=Coffee(name='Indonezia', price=1, acidity=5.05, roast_level='MEDIUM')
2022-04-10 15:27:30,733 INFO  - remove_from_cart: exit func
2022-04-10 15:27:30,733 INFO  - place_order: start func with cart_id=12 and returned
2022-04-10 15:27:30,733 INFO  - new_cart: start func
2022-04-10 15:27:30,733 INFO  - new_cart: exit func with id=569
2022-04-10 15:27:30,733 INFO  - add_to_cart: start func with cart_id=569, product=Tea(name='Pai Mu Tan', price=9, type='White')
2022-04-10 15:27:30,733 INFO  - add_to_cart: exit func with ret=True
2022-04-10 15:27:30,734 INFO  - add_to_cart: start func with cart_id=569, product=Tea(name='Pai Mu Tan', price=9, type='White')
2022-04-10 15:27:30,734 INFO  - add_to_cart: exit func with ret=True
2022-04-10 15:27:30,734 INFO  - add_to_cart: start func with cart_id=569, product=Tea(name='Pai Mu Tan', price=9, type='White')
